Anos,Total,Votantes,Abstenção
1975, 6.220.784, 5.693.905, 526.879
1976, 6.583.311, 5.485.593, 1.097.718
1979, 6.898.589, 6.007.004, 891.585
1980, 7.108.987, 6.028.601, 1.080.386
1983, 7.344.032, 5.713.873, 1.630.159
1985, 7.812.770, 5.801.790, 2.010.980
1987, 7.928.687, 5.672.824, 2.255.863
1991, 8.509.911, 5.735.434, 2.774.477
1995, 8.911.733, 5.900.277, 3.011.456
1999, 8.857.173, 5.406.946, 3.450.227
2002, 8.879.561, 5.473.631, 3.405.930
2005, 8.934.140, 5.750.354, 3.183.786
2009, 9.514.322, 5.683.967, 3.830.355
2011, 9.624.133, 5.588.594, 4.035.539
2015, 9.682.553, 5.408.805, 4.273.748
2019, 10.810.674, 5.251.064, 5.559.610
2022, 10.820.337, 5.563.497, 5.256.840
