Anos,Total,ADN,ASDI,B.E.,CDS-PP,CH,IL,L,MDP/CDE,PAN,PCP,PEV,PPD/PSD,PPM,PRD,PS,PSN,UDP,UEDS
1975, 250,1,0,0,16,0,0,0,5,0,30,0,81,0,0,116,0,1,0
1976, 263,0,0,0,42,0,0,0,0,0,40,0,73,0,0,107,0,1,0
1979, 250,0,0,0,43,0,0,0,3,0,44,0,80,5,0,74,0,1,0
1980, 250,0, 4,0,46,0,0,0,2,0,39,0,82,6,0,66,0,1,4
1983, 250,0,0,0,30,0,0,0,3,0,41,0,75,0,0,101,0,0,0
1985, 250,0,0,0,22,0,0,0,3,0,35,0,88,0,45,57,0,0,0
1987, 250,0,0,0,4,0,0,0,0,0,29,2,148,0,7,60,0,0,0
1991, 230,0,0,0,5,0,0,0,0,0,15,2,135,0,0,72,1,0,0
1995, 230,0,0,0,15,0,0,0,0,0,13,2,88,0,0,112,0,0,0
1999, 230,0,0,2,15,0,0,0,0,0,15,2,81,0,0,115,0,0,0
2002, 230,0,0,3,14,0,0,0,0,0,10,2,105,0,0,96,0,0,0
2005, 230,0,0,8,12,0,0,0,0,0,12,2,75,0,0,121,0,0,0
2009, 230,0,0,16,21,0,0,0,0,0,13,2,81,0,0,97,0,0,0
2011, 230,0,0,8,24,0,0,0,0,0,14,2,108,0,0,74,0,0,0
2015, 230,0,0,19,18,0,0,0,0,1,15,2,89,0,0,86,0,0,0
2019, 230,0,0,19,5,1,1,1,0,4,10,2,79,0,0,108,0,0,0
2022, 230,0,0,5,0,12,8,1,0,1,6,0,77,0,0,120,0,0,0
