Nome,Partido,Descrição
Partido Socialista,PS,"Partido político português de centro-esquerda, fundado a 19 de abril de 1973 por militantes da Acção Socialista Portuguesa (ASP)"
Partido Popular Democrático,PPD,"Partido político português fundado em 6 de maio de 1974 por Francisco Sá Carneiro, Francisco Pinto Balsemão e Joaquim Magalhães Mota sob o nome Partido Popular Democrático (PPD)."
Partido Comunista Português,PCP,"Partido político de inspiração marxista-leninista e socialista, organizado no molde do centralismo democrático. É um dos partidos comunistas mais fortes da Europa Ocidental e o mais antigo partido político português com existência ininterrupta."
Centro Democrático Social - Partido Popular,CDS-PP,"Partido político português conservador inspirado pela democracia cristã, aberto também a liberais. Fundado em 19 de Julho de 1974, com o nome Partido do Centro Democrático Social (CDS)."
Centro Democrático Social,CDS,"Partido político português conservador inspirado pela democracia cristã, aberto também a liberais. Fundado em 19 de Julho de 1974, com o nome Partido do Centro Democrático Social (CDS)."
Movimento Democrático Português,MDP,"Fora uma das mais importantes organizações políticas da Oposição Democrática ao regime do Estado Novo em Portugal, antes do 25 de Abril. Foi fundado em 1969, actuando através de comissões democráticas eleitorais, para concorrer às eleições legislativas."
Frente Socialista Popular,FSP,"Partido político português criado em 1974, herdeiro do Movimento Socialista Popular de Manuel Serra, integrada como grupo autónomo do PS, até Dezembro de 1974."
Movimento de Esquerda Socialista,MES,"Partido português fundado em Fevereiro de 1975, uns meses a seguir à Revolução de 25 de Abril de 1974. O MES, apesar de ser um pequeno partido, agregava muitas tendências entre que provinham de uma cisão à esquerda na Comissão Democrática Eleitoral (CDE), dirigentes estudantis das lutas de 1969 em Coimbra, estudantes e sindicalistas."
União Democrática Popular,UDP,"A União Democrática Popular (UDP) foi um partido político marxista que nasceu em 1974 e que, em 1999, juntamente com o Partido Socialista Revolucionário e a Política XXI, esteve na origem da criação do Bloco de Esquerda."
Partido Popular Monárquico,PPM,"Partido político português inspirado pelo municipalismo, agrarianismo e tradicionalismo que defende a restauração da monarquia em Portugal. Foi fundado em 23 de maio de 1974 por Gonçalo Ribeiro Telles."
Associação para a Defesa dos Interesses de Macau,ADIM,"Associação política de matriz portuguesa e de cariz conservador e localista fundada em 1974 por um grupo de macaenses, entre os quais estavam Delfino José Rodrigues Ribeiro e Carlos Augusto Corrêa Paes d’Assumpção, que se tornou naturalmente no líder desta associação. A ADIM manteve uma relação de estreita colaboração política com o Centro Democrático Social (CDS) português, cuja ideologia se assemelhava à do ADIM."
Aliança Democrática,AD,"A Aliança Democrática (AD) foi uma coligação política em Portugal de centro-direita, formada pelo Partido Social Democrata (PPD/PSD), pelo CDS – Partido Popular (CDS–PP), pelo Partido Popular Monárquico (PPM) e personalidades independentes."
Aliança Povo Unido,APU,"Foi uma antiga coligação (activa entre 1978 e 1987) formada pelo Partido Comunista Português (PCP), Movimento Democrático Português / Comissão Democrática Eleitoral (MDP/CDE) e, após 1983, também pelo Partido Ecologista ""Os Verdes"" (PEV) com a então denominação de Movimento Ecologista Português - Partido ""Os Verdes"" (MEP-PV)."
Partido da Democracia Cristã,PDC,"Partido político português da direita com princípios cristãos, criado em 10 de maio de 1974, a partir de uma cisão mais à direita do Partido Cristão Social Democrático (PCSD), pretendendo reunir conservadores sociais, democratas-cristãos e conservadores nacionais, inspirando-se, segundo o líder Nuno Calvet de Magalhães, numa tradição distinta do salazarismo."
Partido Comunista dos Trabalhadores Portugueses,PCTP/MRPP,"Partido político de Portugal, marxista-leninista com inspiração maoísta fundado em 18 de setembro de 1970, foi registado oficialmente no tribunal constitucional em 18 de fevereiro de 1975, passou a chamar-se PCTP/MRPP em 26 de dezembro de 1976 a deixando o nome Movimento Reorganizativo do Partido do Proletariado (MRPP)."
Liga Comunista Internacionalista,LCI,"Partido português fundado em 1973. Considera-se como secção portuguesa da IV Internacional, de cariz trotskista."
Partido Comunista de Portugal (Marxista-Leninista),PCP (M-L),"Foi um pequeno grupo político de extrema-esquerda criado em 1970, a partir do Comité Marxista-Leninista Português, que havia sido fundado em 1964 por Francisco Martins Rodrigues."
Partido Trabalhista,PT,"Partido político de extrema-esquerda, maoista, criado a partir de uma facção do PCP (M-L), por iniciativa de Heduíno Gomes, de pseudónimo Vilar."
Partido Revolucionário dos Trabalhadores,PRT,Partido de orientação trotskista (próximo do argentino Nahuel Moreno e do SWP norte-americano) que defendia os princípios do marxismo revolucionário. Os seus objetivos eram organizar e controlar a classe operária para a conduzir à tomada do poder e à revolução socialista.
Organização Comunista Marxista-Leninista Portuguesa,OCMLP,"Foi uma organização e posteriormente um partido político português, já dissolvido. Foi criada em 1973 da fusão de herdeiros do Comité Marxista-Leninista Português (CMLP), Núcleos O Comunista e o grupo do Porto que publicava o jornal O Grito do Povo."
Centro Democrático de Macau,CDM,"Associação política de matriz portuguesa e de centro-esquerda, com sede em Macau, fundado em 30 de Abril de 1974, cinco dias após a Revolução do 25 de Abril, que se propõe contribuir para o exercício dos direitos civis e políticos e participar na vida política de Macau."
Partido de Unidade Popular,PUP,"Partido político português, fundado em Dezembro de 1974. Era uma organização política de tendência maoista, que provinham da chamada Facção Mendes do PCP (M-L). Depois das eleições legislativas portuguesas de 1975 retoma a designação inicial de CM-LP. Em 1976, com o ORPC (M-L) e com a OCMLP funde-se no Partido Comunista (Reconstruído) e o partido extinguiu-se."
União da Esquerda para a Democracia Socialista,UEDS,"Partido de esquerda português fundado em Janeiro de 1978 na Convenção da Esquerda Socialista e Democrática. O partido tem as suas origens na Associação de Cultura Socialista — Fraternidade Operária, uma organização socialista, no MSU e em grupos de pessoas independentes ligadas ao Partido Socialista."
Partido Socialista Revolucionário,PSR,"Partido político português trotskista criado em 1978, durante o congresso em que a Liga Comunista Internacionalista (LCI) se fundiu com o Partido Revolucionário dos Trabalhadores (PRT) e integrou um conjunto de militantes de várias correntes trotskistas."
Partido Operário de Unidade Socialista,POUS,É uma associação política portuguesa que tem origem no extinto partido trotskista homónimo.
Frente Republicana e Socialista,FRS,"Foi uma coligação de partidos políticos portugueses formada pelo Partido Socialista (PS), União de Esquerda Socialista Democrática (UEDS) e Acção Social Democrata Independente (ASDI), registada em 1 de Agosto de 1980."
Movimento Independente para a Reconstrução Nacional,MIRN,"Foi um partido português, já dissolvido, fundado em 1979. Defendia o estabelecimento de um regime presidencialista e foi frequentemente conotado com a extrema-direita."
Partido Democrático do Atlântico,PDA,"Partido político português que, inicialmente, foi considerado de extrema-direita e com origem no MAPA, fundado em 1979, por Francisco da Costa Matos."
Partido Socialista dos Trabalhadores,PST,Partido político português fundado em 1980 (por dissidentes do Partido Socialista Revolucionário) e extinto em 1981.
Frente Nacional,FN,"Grupo político português já dissolvido, que em 1980 concorreu às eleições legislativas em coligação com o PDC e o MIRN/PDP e que, após obter apenas 0,4% dos votos, acabaria por cessar atividade, tendo como último presidente o jornalista e ensaísta Manuel Maria Múrias."
Frente da Esquerda Revolucionária ,FER,"Antigo partido político português de índole comunista e é o resultado da fusão entre uma das múltiplas dissensões trotskistas a operar em Portugal, e um pequeno grupo radical de jovens activistas do movimento estudantil. Gil Garcia, licenciado em filosofia, destacou-se durante muitos anos na liderança do partido."
Partido Comunista (Reconstruído),PC(R),"Partido político português de extrema-esquerda, criado em 1975. Definia-se como um partido político revolucionário do proletariado seguindo a doutrina marxista-leninista."
Partido Renovador Democrático,PRD,"Partido português criado em 1985, cuja figura mais icónica foi Ramalho Eanes, que era na época o presidente da República e depois liderado por Hermínio Martinho."
Coligação Democrática Unitária,CDU,"Coligação de esquerda, formada pelo Partido Comunista Português (PCP) e pelo Partido Ecologista ""Os Verdes"" (PEV), incluindo normalmente nas suas listas membros da Associação de Intervenção Democrática (ID)."
Partido da Solidariedade Nacional,PSN,Partido político português que surgiu em 1990 com uma plataforma ligada principalmente à defesa dos direitos dos cidadãos aposentados.
