Anos,Total,17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 ou mais,Desconhecido
2008, 8.799.181,0, 105.264, 494.368, 684.872, 848.812, 849.151, 862.277, 842.703, 765.190, 700.205, 629.749, 537.138, 515.169, 427.482, 296.882, 225.142, 14.777
2009, 9.371.653,0, 241.594, 626.007, 746.375, 871.279, 882.448, 866.394, 864.576, 801.545, 733.205, 668.949, 549.934, 525.455, 437.194, 308.884, 246.348, 1.466
2010, 9.427.654, 7.470, 242.126, 618.191, 719.948, 849.724, 898.602, 864.341, 872.358, 813.406, 745.809, 681.913, 570.461, 521.910, 446.636, 315.865, 257.445, 1.449
2011, 9.454.640,0, 238.937, 612.928, 693.170, 818.795, 907.623, 867.657, 877.547, 826.380, 751.668, 698.487, 592.896, 514.170, 455.257, 324.378, 273.376, 1.371
2012, 9.465.089,0, 233.329, 608.623, 666.000, 790.517, 909.537, 872.785, 875.294, 837.219, 759.486, 716.289, 610.392, 511.143, 456.493, 335.032, 281.595, 1.355
2013, 9.471.211,0, 227.205, 602.778, 643.661, 766.006, 896.443, 878.746, 872.492, 841.623, 772.342, 715.616, 634.958, 514.780, 463.259, 343.325, 297.977,0
2014, 9.448.259,0, 228.049, 593.830, 618.801, 739.445, 871.055, 883.478, 861.299, 847.315, 783.306, 717.251, 651.596, 520.570, 469.750, 351.103, 311.411,0
2015, 9.439.510, 7.466, 232.145, 584.549, 605.936, 704.178, 839.423, 889.843, 853.070, 849.016, 789.959, 725.910, 660.920, 539.569, 468.211, 361.793, 327.522,0
2016, 9.387.932,0, 233.454, 577.005, 597.282, 672.179, 800.584, 889.572, 848.769, 847.192, 796.091, 726.225, 672.126, 558.304, 460.592, 369.151, 339.406,0
2017, 9.360.940,0, 235.502, 573.128, 591.068, 642.070, 767.541, 884.224, 846.974, 839.555, 801.168, 730.435, 686.558, 574.768, 459.235, 373.241, 355.473,0
2018, 9.342.202,0, 239.783, 571.309, 585.572, 619.289, 742.374, 868.772, 847.451, 834.386, 802.162, 740.095, 683.880, 596.647, 462.662, 380.057, 367.763,0
2019, 9.318.394,0, 233.022, 575.734, 577.710, 597.181, 718.869, 846.039, 852.899, 824.506, 807.444, 749.819, 684.232, 611.736, 469.100, 387.230, 382.873,0
2020, 9.314.947, 7.493, 223.933, 584.688, 570.912, 588.661, 689.720, 820.435, 862.093, 819.953, 809.956, 756.283, 691.624, 619.414, 486.408, 386.060, 397.314,0
2021, 9.298.389, 8.758, 222.183, 581.933, 565.499, 584.570, 663.761, 789.387, 867.620, 821.710, 812.456, 766.069, 694.153, 630.013, 503.206, 379.931, 407.140,0
2022, 9.263.175,0, 217.709, 577.066, 561.106, 581.018, 637.131, 761.792, 868.070, 825.583, 809.994, 774.850, 699.878, 642.723, 516.774, 377.032, 412.449,0
2023, 9.260.214,0, 215.105, 570.540, 556.749, 577.623, 617.826, 741.524, 858.734, 832.716, 810.485, 780.146, 711.892, 640.914, 538.172, 381.564, 426.224,0
