Anos,Total,Válidos,Brancos,Nulos
1975, 5.693.905, 5.296.547, 397.358,0
1976, 5.485.593, 5.225.914, 44.515, 215.164
1979, 6.007.004, 5.835.319, 43.499, 128.186
1980, 6.028.601, 5.885.169, 34.969, 108.463
1983, 5.713.873, 5.563.378, 43.112, 107.383
1985, 5.801.790, 5.649.589, 49.182, 103.019
1987, 5.672.824, 5.546.891, 50.287, 75.646
1991, 5.735.434, 5.623.121, 47.818, 64.495
1995, 5.900.277, 5.783.514, 46.155, 70.608
1999, 5.406.946, 5.296.553, 57.039, 53.354
2002, 5.473.631, 5.365.116, 55.182, 53.333
2005, 5.750.354, 5.579.806, 103.716, 66.832
2009, 5.683.967, 5.506.783, 99.161, 78.023
2011, 5.588.594, 5.360.221, 148.378, 79.995
2015, 5.408.805, 5.206.410, 112.851, 89.544
2019, 5.251.064, 4.995.478, 131.704, 123.882
2022, 5.563.497, 5.416.752, 63.041, 83.704
