Anos,Total,Válidos,Brancos,Nulos
1975, 5.666.696, 5.273.477, 393.219,0
1976, 5.393.853, 5.135.748, 44.426, 213.679
1979, 5.915.168, 5.746.276, 42.383, 126.509
1980, 5.917.355, 5.777.890, 33.192, 106.273
1983, 5.629.996, 5.481.574, 41.884, 106.538
1985, 5.744.321, 5.594.025, 47.729, 102.567
1987, 5.623.128, 5.498.461, 49.556, 75.111
1991, 5.674.332, 5.563.094, 47.353, 63.885
1995, 5.854.425, 5.744.184, 45.888, 64.353
1999, 5.363.906, 5.257.126, 56.852, 49.928
2002, 5.433.924, 5.328.451, 55.002, 50.471
2005, 5.713.640, 5.546.270, 103.581, 63.789
2009, 5.658.495, 5.485.231, 98.991, 74.273
2011, 5.555.535, 5.332.119, 148.118, 75.298
2015, 5.380.451, 5.181.312, 112.666, 86.473
2019, 5.092.812, 4.874.651, 129.610, 88.551
2022, 5.389.705, 5.278.406, 61.762, 49.537
