Anos,Total,Válidos,Brancos,Nulos
1975, 27.209, 23.070, 4.139,0
1976, 91.740, 90.166, 89, 1.485
1979, 91.836, 89.043, 1.116, 1.677
1980, 111.246, 107.279, 1.777, 2.190
1983, 83.877, 81.804, 1.228, 845
1985, 57.469, 55.564, 1.453, 452
1987, 49.696, 48.430, 731, 535
1991, 61.102, 60.027, 465, 610
1995, 45.852, 39.330, 267, 6.255
1999, 43.040, 39.427, 187, 3.426
2002, 39.707, 36.665, 180, 2.862
2005, 36.714, 33.536, 135, 3.043
2009, 25.472, 21.552, 170, 3.750
2011, 33.059, 28.102, 260, 4.697
2015, 28.354, 25.098, 185, 3.071
2019, 158.252, 120.827, 2.094, 35.331
2022, 173.792, 138.346, 1.279, 34.167
