Anos,Total,AD,ADIM,APU,BE,CDS-PP,CDU,CH,FRS,IL,L,MDP/CDE,PAN,PCP,PCP-PEV,PPD/PSD,PPD/PSD.CDS-PP,PRD,PS,PSN,UDP,Outros
1975, 5.296.547,0, 1.622,0,0, 434.189,0,0,0,0,0, 235.405,0, 709.659,0, 1.503.402,0,0, 2.154.251,0, 44.546, 213.473
1976, 5.225.914,0,0,0,0, 874.217,0,0,0,0,0,0,0, 791.368,0, 1.334.207,0,0, 1.913.273,0, 91.901, 220.948
1979, 5.835.319, 2.553.044,0, 1.128.484,0, 23.492,0,0,0,0,0,0,0,0,0, 141.040,0,0, 1.639.336,0, 129.595, 220.328
1980, 5.885.169, 2.706.392,0, 1.009.356,0, 13.577,0,0, 1.605.138,0,0,0,0,0,0, 147.330,0,0, 67.092,0, 82.826, 253.458
1983, 5.563.378,0,0, 1.031.920,0, 717.598,0,0,0,0,0,0,0,0,0, 1.556.606,0,0, 2.062.055,0, 27.268, 167.931
1985, 5.649.589,0,0, 898.471,0, 576.435,0,0,0,0,0,0,0,0,0, 1.730.451,0, 1.039.104, 1.204.058,0, 73.276, 127.794
1987, 5.546.891,0,0,0,0, 251.423, 688.573,0,0,0,0, 32.360,0,0,0, 2.846.308,0, 278.899, 1.261.848,0, 51.010, 136.470
1991, 5.623.121,0,0,0,0, 254.282,0,0,0,0,0,0,0,0, 504.449, 2.901.594,0, 34.984, 1.670.770, 95.735, 6.169, 155.138
1995, 5.783.514,0,0,0,0, 533.920,0,0,0,0,0,0,0,0, 505.905, 2.013.325,0,0, 2.578.823, 12.475, 33.526, 105.540
1999, 5.296.553,0,0,0, 132.046, 450.706,0,0,0,0,0,0,0,0, 485.337, 1.748.422,0,0, 2.380.672, 11.458,0, 87.912
2002, 5.365.116,0,0,0, 149.852, 477.215,0,0,0,0,0,0,0,0, 379.934, 2.200.830,0,0, 2.069.381,0,0, 87.904
2005, 5.579.806,0,0,0, 365.053, 416.296,0,0,0,0,0,0,0,0, 433.108, 1.653.820,0,0, 2.589.900,0,0, 121.629
2009, 5.506.783,0,0,0, 558.062, 592.997,0,0,0,0,0,0,0,0, 446.994, 1.654.777,0,0, 2.077.695,0,0, 176.258
2011, 5.360.221,0,0,0, 288.973, 653.987,0,0,0,0,0,0, 57.849,0, 441.852, 2.159.742,0,0, 1.568.168,0,0, 189.650
2015, 5.206.410,0,0,0, 550.892, 7.536,0,0,0,0,0,0, 75.140,0, 445.980, 81.054, 1.993.921,0, 1.747.685,0,0, 304.202
2019, 4.995.478,0,0,0, 500.017, 221.774,0, 67.826,0, 67.681, 57.172,0, 174.511,0, 332.473, 1.457.704,0,0, 1.908.036,0,0, 208.284
2022, 5.416.752,0,0,0, 244.596, 89.113,0, 399.510,0, 273.399, 71.196,0, 88.127,0, 238.962, 1.539.189, 50.634,0, 2.301.887,0,0, 120.139
