Data,Freguesia,Código Territorial,Total Mandatos,Mandatos Disponíveis,Votos Brancos,Percentagem Votos Brancos,Votos Nulos,Percentagem Votos Nulos,Percentagem Votantes,Votantes Inscritos,Total de Votos,Concelho,Distrito,Região
2019-12-03 11:13:36,Aguada de Cima,LOCAL-010103,0.0,0,54,3.07,34,1.93,47.14,3729,1758,Águeda,Aveiro,Norte
2019-12-03 11:13:36,Fermentelos,LOCAL-010109,0.0,0,53,3.33,32,2.01,56.09,2840,1593,Águeda,Aveiro,Norte
2019-12-03 11:13:36,Macinhata do Vouga,LOCAL-010112,0.0,0,57,3.81,26,1.74,49.8,3008,1498,Águeda,Aveiro,Norte
2019-12-03 11:13:36,Valongo do Vouga,LOCAL-010119,0.0,0,88,3.93,37,1.65,51.67,4329,2237,Águeda,Aveiro,Norte
2019-12-03 11:13:36,Águeda e Borralha,LOCAL-010121,0.0,0,209,3.2,103,1.58,53.56,12178,6523,Águeda,Aveiro,Norte
2019-12-03 11:13:36,Barrô e Aguada de Baixo,LOCAL-010122,0.0,0,66,4.45,21,1.42,49.65,2985,1482,Águeda,Aveiro,Norte
2019-12-03 11:13:36,"Belazaima do Chão, Castanheira do Vouga e Agadão",LOCAL-010123,0.0,0,33,4.3,11,1.43,56.47,1360,768,Águeda,Aveiro,Norte
2019-12-03 11:13:36,Recardães e Espinhel,LOCAL-010124,0.0,0,113,3.81,73,2.46,55.19,5374,2966,Águeda,Aveiro,Norte
2019-12-03 11:13:36,Travassô e Óis da Ribeira,LOCAL-010125,0.0,0,41,3.24,20,1.58,62.73,2015,1264,Águeda,Aveiro,Norte
2019-12-03 11:13:36,"Trofa, Segadães e Lamas do Vouga",LOCAL-010126,0.0,0,68,3.02,28,1.24,55.09,4086,2251,Águeda,Aveiro,Norte
2019-12-03 11:13:36,Préstimo e Macieira de Alcoba,LOCAL-010127,0.0,0,10,2.45,8,1.96,51.45,793,408,Águeda,Aveiro,Norte
2019-12-03 11:13:36,Alquerubim,LOCAL-010202,0.0,0,28,2.69,30,2.89,50.68,2050,1039,Albergaria-a-Velha,Aveiro,Norte
2019-12-03 11:13:36,Angeja,LOCAL-010203,0.0,0,31,3.12,24,2.42,54.44,1824,993,Albergaria-a-Velha,Aveiro,Norte
2019-12-03 11:13:36,Branca,LOCAL-010204,0.0,0,61,2.27,39,1.45,54.28,4961,2693,Albergaria-a-Velha,Aveiro,Norte
2019-12-03 11:13:36,Ribeira de Fráguas,LOCAL-010206,0.0,0,31,3.52,18,2.04,59.81,1473,881,Albergaria-a-Velha,Aveiro,Norte
2019-12-03 11:13:36,Albergaria-a-Velha e Valmaior,LOCAL-010209,0.0,0,144,2.87,87,1.73,51.8,9703,5026,Albergaria-a-Velha,Aveiro,Norte
2019-12-03 11:13:36,São João de Loure e Frossos,LOCAL-010210,0.0,0,42,2.87,31,2.12,57.82,2532,1464,Albergaria-a-Velha,Aveiro,Norte
2019-12-03 11:13:36,Avelãs de Caminho,LOCAL-010304,0.0,0,13,2.34,12,2.16,50.18,1106,555,Anadia,Aveiro,Norte
2019-12-03 11:13:36,Avelãs de Cima,LOCAL-010305,0.0,0,37,3.63,22,2.16,53.66,1897,1018,Anadia,Aveiro,Norte
2019-12-03 11:13:36,Moita,LOCAL-010307,0.0,0,30,2.64,23,2.02,52.11,2184,1138,Anadia,Aveiro,Norte
2019-12-03 11:13:36,Sangalhos,LOCAL-010309,0.0,0,84,4.56,30,1.63,50.52,3648,1843,Anadia,Aveiro,Norte
2019-12-03 11:13:36,São Lourenço do Bairro,LOCAL-010310,0.0,0,47,4.22,23,2.06,50.02,2229,1115,Anadia,Aveiro,Norte
2019-12-03 11:13:36,Vila Nova de Monsarros,LOCAL-010312,0.0,0,33,4.43,14,1.88,47.97,1553,745,Anadia,Aveiro,Norte
2019-12-03 11:13:36,Vilarinho do Bairro,LOCAL-010313,0.0,0,55,4.08,35,2.6,49.22,2739,1348,Anadia,Aveiro,Norte
2019-12-03 11:13:36,"Amoreira da Gândara, Paredes do Bairro e Ancas",LOCAL-010316,0.0,0,52,3.76,36,2.6,54.93,2516,1382,Anadia,Aveiro,Norte
2019-12-03 11:13:36,Arcos e Mogofores,LOCAL-010317,0.0,0,120,3.97,36,1.19,53.27,5681,3026,Anadia,Aveiro,Norte
2019-12-03 11:13:36,"Tamengos, Aguim e Óis do Bairro",LOCAL-010318,0.0,0,74,4.63,37,2.32,52.12,3066,1598,Anadia,Aveiro,Norte
2019-12-03 11:13:36,Alvarenga,LOCAL-010402,0.0,0,20,3.58,8,1.43,57.41,972,558,Arouca,Aveiro,Norte
2019-12-03 11:13:36,Chave,LOCAL-010407,0.0,0,16,2.2,8,1.1,63.57,1142,726,Arouca,Aveiro,Norte
2019-12-03 11:13:36,Escariz,LOCAL-010409,0.0,0,41,3.57,24,2.09,60.74,1890,1148,Arouca,Aveiro,Norte
2019-12-03 11:13:36,Fermedo,LOCAL-010411,0.0,0,19,2.71,6,0.86,58.24,1202,700,Arouca,Aveiro,Norte
2019-12-03 11:13:36,Mansores,LOCAL-010413,0.0,0,19,3.14,6,0.99,60.78,997,606,Arouca,Aveiro,Norte
2019-12-03 11:13:36,Moldes,LOCAL-010414,0.0,0,18,2.77,9,1.39,57.69,1125,649,Arouca,Aveiro,Norte
2019-12-03 11:13:36,Rossas,LOCAL-010415,0.0,0,36,4.28,14,1.66,59.55,1414,842,Arouca,Aveiro,Norte
2019-12-03 11:13:36,Santa Eulália,LOCAL-010416,0.0,0,64,5.45,33,2.81,58.06,2022,1174,Arouca,Aveiro,Norte
2019-12-03 11:13:36,São Miguel do Mato,LOCAL-010417,0.0,0,5,1.61,3,0.96,50.08,621,311,Arouca,Aveiro,Norte
2019-12-03 11:13:36,Tropeço,LOCAL-010418,0.0,0,22,3.89,12,2.12,53.8,1052,566,Arouca,Aveiro,Norte
2019-12-03 11:13:36,Urrô,LOCAL-010419,0.0,0,19,3.78,3,0.6,56.58,889,503,Arouca,Aveiro,Norte
2019-12-03 11:13:36,Várzea,LOCAL-010420,0.0,0,8,2.73,5,1.71,65.26,449,293,Arouca,Aveiro,Norte
2019-12-03 11:13:36,Arouca e Burgo,LOCAL-010421,0.0,0,109,4.13,25,0.95,55.74,4736,2640,Arouca,Aveiro,Norte
2019-12-03 11:13:36,Cabreiros e Albergaria da Serra,LOCAL-010422,0.0,0,2,1.89,1,0.94,38.41,276,106,Arouca,Aveiro,Norte
2019-12-03 11:13:36,Canelas e Espiunca,LOCAL-010423,0.0,0,17,3.29,7,1.35,51.49,1004,517,Arouca,Aveiro,Norte
2019-12-03 11:13:36,Covelo de Paivó e Janarde,LOCAL-010424,0.0,0,2,1.74,1,0.87,54.25,212,115,Arouca,Aveiro,Norte
2019-12-03 11:13:36,Aradas,LOCAL-010501,0.0,0,162,3.56,53,1.17,53.85,8447,4549,Aveiro,Aveiro,Norte
2019-12-03 11:13:36,Cacia,LOCAL-010502,0.0,0,106,3.22,48,1.46,53.58,6139,3289,Aveiro,Aveiro,Norte
2019-12-03 11:13:36,Esgueira,LOCAL-010505,0.0,0,210,3.35,103,1.64,52.4,11951,6262,Aveiro,Aveiro,Norte
2019-12-03 11:13:36,Oliveirinha,LOCAL-010508,0.0,0,96,4.31,42,1.89,53.14,4191,2227,Aveiro,Aveiro,Norte
2019-12-03 11:13:36,São Bernardo,LOCAL-010510,0.0,0,105,3.91,52,1.94,59.49,4510,2683,Aveiro,Aveiro,Norte
2019-12-03 11:13:36,São Jacinto,LOCAL-010511,0.0,0,7,1.81,3,0.78,44.88,860,386,Aveiro,Aveiro,Norte
2019-12-03 11:13:36,Santa Joana,LOCAL-010513,0.0,0,114,2.9,75,1.91,54.39,7220,3927,Aveiro,Aveiro,Norte
2019-12-03 11:13:36,Eixo e Eirol,LOCAL-010515,0.0,0,95,3.39,70,2.5,50.87,5502,2799,Aveiro,Aveiro,Norte
2019-12-03 11:13:36,"Requeixo, Nossa Senhora de Fátima e Nariz",LOCAL-010516,0.0,0,70,3.41,56,2.73,51.24,4007,2053,Aveiro,Aveiro,Norte
2019-12-03 11:13:36,Glória e Vera Cruz,LOCAL-010517,0.0,0,289,2.71,130,1.22,59.29,18014,10681,Aveiro,Aveiro,Norte
2019-12-03 11:13:36,Fornos,LOCAL-010602,0.0,0,11,1.56,13,1.85,58.62,1201,704,Castelo de Paiva,Aveiro,Norte
2019-12-03 11:13:36,Real,LOCAL-010606,0.0,0,21,3.5,10,1.67,55.0,1091,600,Castelo de Paiva,Aveiro,Norte
2019-12-03 11:13:36,Santa Maria de Sardoura,LOCAL-010607,0.0,0,29,2.45,26,2.2,56.98,2078,1184,Castelo de Paiva,Aveiro,Norte
2019-12-03 11:13:36,São Martinho de Sardoura,LOCAL-010608,0.0,0,17,1.64,21,2.03,62.67,1653,1036,Castelo de Paiva,Aveiro,Norte
2019-12-03 11:13:36,"Raiva, Pedorido e Paraíso",LOCAL-010610,0.0,0,53,2.5,57,2.69,53.87,3930,2117,Castelo de Paiva,Aveiro,Norte
