Partido,Nome,Cor
ADN,Alternativa Democrática Nacional,#204E84
ASDI,Ação Social Democrata Independente,#2B2B2B
B.E.,Bloco de Esquerda,#CC1615
CDS-PP,Centro Democrático Social - Partido Popular,#127094
CH,Chega,#1F2052
IL,Iniciativa Liberal,#00AEEF
L,Livre,#840D11
MDP/CDE,Movimento Democrático Português / Comissão Democrática Eleitoral,#C10000
PAN,"Pessoas, Animais Natureza",#3D9177
PCP,Partido Comunista Português,#B20000
PEV,Partido Ecologista Os Verde,#FDDA0B
PCP/PEV, CDU - Coligação Democrática Unitária,#4F4F4F
PPD/PSD,Partido Popular Democrático / Partido Social Democrático,#FF6500
PPM,Partido Popular Monárquico,#2A5392
PRD,Partido Renovação Democrática,#216B31
PS,Partido Socialista,#E21F26
PSN,Partido da Solidariedade Nacional,#2AAAF5
UDP,União Democrática Popular,#FF0000
UEDS,União da Esqueda para a Democracia Socialista,#F40000
A,Aliança,#0030A1
R.I.R.,Reagir Incluir Reciclar,#02959F
NC,"Nós, Cidadãos!",#E5A845
PNR,Partido Nacional Renovador,#182D81
PURP,Partido Unido dos Reformados e Pensionistas,#008836
PCTP/MRPP,Partido Comunista dos Trabalhadores Portugueses / Movimento Reorganizativo do Partido do Proletariado,#E00C03
PDR,Partido Democrático Republicano,#204E84
MPT,Movimento Partido da Terra,#154026
JPP,Juntos pelo Povo,#00AB84
MAS,Movimento Alternativa Socialista,#D50000
